step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,auxiliary_applied_update_norm,auxiliary_gradient_component_norm,auxiliary_decay_component_norm,auxiliary_applied_update_rms,auxiliary_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
0,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.1471052169799805,0.008093995042145252,5.135010719299316,0.009173285216093063,0.7154864589683712,nan,nan,6.088004112243652,nan,nan,nan,nan,nan,0,0,0,,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
100,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.00013351705274544656,1.0,47.01106643676758,0.0017899094382300973,19.6217029170366,67.86978941303597,114.00887739733547,6.514575004577637,0.001960782484447652,0.00032524636616269593,0.0028312455397099257,0.9076976479831271,0.014306172728538513,0,0,0,,0.7270469626437115,0.9076963034309763,0.2017130040106443,0.001639690467171276,67.86978941303597,0.11206294727665397,0.004299721693271141,0.1141208778383728,0.0009157230046704776,114.00887739733547,0.0012493983890894684,0.0008856518032922839,0.0016289068336570827,1.0388593074028569e-05,6.514574529928209
200,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.012210952118039131,0.9968668222427368,46.98799133300781,0.0013424319913610816,78.05889687500894,74.04306884838958,103.27655111426272,6.358664512634277,0.6319188369834788,0.22671409612852084,0.32612892985343933,0.8927123713919283,0.013909968547523022,0,0,0,,0.8615438836953393,0.892711963687052,0.22207798091821065,0.001943017942071015,74.04306884838958,0.10597000266175954,0.023319122239853215,0.10337992091535968,0.0008659344734419732,103.27655111426272,0.0034519524860641684,0.0031230304685157316,0.0015900347363843397,2.870255796850875e-05,6.358664628208531
300,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0016557469498366117,1.0,40.6960334777832,0.0019017787417396903,129.9150265000062,75.84430934859353,93.47632108560234,6.2103471755981445,0.27021914243913003,0.13964470474654966,0.12688659131526947,0.888278750784915,0.014110451564192772,0,0,0,,0.8401557370759881,0.888278399469441,0.22731115484332312,0.0018947818006329305,75.84430934859353,0.0943367547743866,0.013436161073336938,0.0935696953347468,0.0007708733228263054,93.47632108560234,0.00205374789224408,0.0014374653785825162,0.0015529541169346057,1.707665970717031e-05,6.210347420718776
400,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0009109139209613204,1.0,39.570106506347656,0.002684863982722163,177.37507237505633,78.44022430126144,84.59062094060403,6.0642266273498535,0.012983160551851192,0.0027135908597827763,0.019474605098366737,0.8984918868511309,0.015412622131407261,0,0,0,,0.85130881945682,0.8984914987325738,0.2351328947392756,0.0019199350628003812,78.44022430126144,0.08511962650369338,0.010277815408715356,0.08467511735209633,0.0006955555072629201,84.59062094060403,0.0018586681995079717,0.0011665747600139015,0.0015164187043545082,1.545459619040934e-05,6.06422635950691
500,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0009216765174642205,1.0,41.49477767944336,0.002461125375702977,223.4195912090363,82.33310658262067,76.55058931493082,5.91991662979126,0.030337275781541655,0.008873478701587407,0.046346232295036316,0.8975654289222533,0.016144374385476112,0,0,0,,0.8755695606695022,0.8975651242167075,0.24711933344515172,0.001974649693542107,82.33310658262067,0.07714620808927034,0.009961391683207347,0.07662708915139528,0.0006304006737930753,76.55058931493082,0.0018669004217764806,0.0012270069195266786,0.001480331193057476,1.5523046100373465e-05,5.919916041377538
600,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0006973131676204503,1.0,38.1084098815918,0.003467949340119958,275.08423279202543,83.61259845462308,69.27307528648873,5.7788591384887695,0.03323554584723579,0.021981604765257713,0.023312317207455635,0.8993457216929202,0.016628878191113472,0,0,0,,0.8466567032678446,0.8993454465948456,0.2506504360273932,0.0019094432638394189,83.61259845462308,0.06928314885375597,0.0033500332305215538,0.06934227745703336,0.0005661476409750886,69.27307528648873,0.0014993977176116751,0.0005771187678693271,0.0014450610029360714,1.2467306569641703e-05,5.77885886386897
700,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0006037288112565875,1.0,42.75455093383789,0.003356080036610365,319.8836473750416,88.90663140301618,62.68734339252969,5.638724327087402,0.7226498167501707,0.5569108821116763,0.30268537998199463,0.8183534390989128,0.01121822465211153,0,0,0,,0.8211939293872182,0.8183533976524491,0.26713571224485905,0.001852017719486707,88.90663140301618,0.07129704290369063,0.03451452266595959,0.06274972097052256,0.000582604187543879,62.68734339252969,0.003267902869904084,0.0029759914522347274,0.001410018848853592,2.7172208174227602e-05,5.638724844888054
800,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,8.725914426577219e-07,1.0,67.84457397460938,0.005369727965444326,372.3308166670613,107.06783858911658,56.72758656904109,5.502351760864258,1.1514681641308588e-05,4.34166541889206e-06,2.646933171490673e-05,0.8969882455348428,0.015363174490630627,0,0,0,,0.6785200134541581,0.8969868976121494,0.32006607702179,0.0015302488766340105,107.06783858911658,0.056781977418787266,1.364047017934139e-05,0.056784368544870296,0.0004639942482031749,56.72758656904109,0.0013751827156712497,3.0565014109451284e-06,0.0013759318145186237,1.1434474191980984e-05,5.502352078550569
900,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0012481368612498045,1.0,52.68049240112305,0.005817205645143986,423.5681180000538,104.09389955401572,51.37498150472208,5.378076553344727,0.03303731888510291,0.02085811684425712,0.06028224900364876,0.8909534102851803,0.014933316968381405,0,0,0,,0.8746659000693038,0.8909531257689053,0.31260176332821715,0.0019726116908437455,104.09389955401572,0.0566085131500586,0.024536166814536596,0.0514259919983942,0.0004625767839545233,51.37498150472208,0.003611602801637307,0.0033884639696440495,0.0013448323067182198,3.0030030596225432e-05,5.378077140776052
