run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
seed1_muon,1,muon,first_post_grokking_below_90_after,18000,18000,checkpoints/seedstudy_muon_seed_1/step_018000.pt
seed1_muon,1,muon,first_99_before,5600,5000,checkpoints/seedstudy_muon_seed_1/step_005000.pt
seed1_muon,1,muon,first_99_after,5600,6000,checkpoints/seedstudy_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,regular_stride,0,0,checkpoints/seedstudy_stable_muon_seed_1/step_000000.pt
seed1_stable_muon,1,stable_muon,regular_stride,25000,25000,checkpoints/seedstudy_stable_muon_seed_1/step_025000.pt
seed1_stable_muon,1,stable_muon,regular_stride,50000,50000,checkpoints/seedstudy_stable_muon_seed_1/step_050000.pt
seed1_stable_muon,1,stable_muon,regular_stride,75000,75000,checkpoints/seedstudy_stable_muon_seed_1/step_075000.pt
seed1_stable_muon,1,stable_muon,regular_stride,100000,100000,checkpoints/seedstudy_stable_muon_seed_1/step_100000.pt
seed1_stable_muon,1,stable_muon,initial,0,0,checkpoints/seedstudy_stable_muon_seed_1/step_000000.pt
seed1_stable_muon,1,stable_muon,final,100000,100000,checkpoints/seedstudy_stable_muon_seed_1/step_100000.pt
seed1_stable_muon,1,stable_muon,maximum_test_accuracy,6500,6000,checkpoints/seedstudy_stable_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,grokking_before,5300,5000,checkpoints/seedstudy_stable_muon_seed_1/step_005000.pt
seed1_stable_muon,1,stable_muon,grokking_after,5300,6000,checkpoints/seedstudy_stable_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,minimum_post_grokking_accuracy,5300,5000,checkpoints/seedstudy_stable_muon_seed_1/step_005000.pt
seed1_stable_muon,1,stable_muon,first_99_before,5600,5000,checkpoints/seedstudy_stable_muon_seed_1/step_005000.pt
seed1_stable_muon,1,stable_muon,first_99_after,5600,6000,checkpoints/seedstudy_stable_muon_seed_1/step_006000.pt
seed1_stable_muon,1,stable_muon,freeze_before,7400,7000,checkpoints/seedstudy_stable_muon_seed_1/step_007000.pt
seed1_stable_muon,1,stable_muon,freeze_after,7400,8000,checkpoints/seedstudy_stable_muon_seed_1/step_008000.pt
seed1_adamw_stable,1,adamw,regular_stride,0,0,checkpoints/seedstudy_adamw_stable_seed_1/step_000000.pt
seed1_adamw_stable,1,adamw,regular_stride,25000,25000,checkpoints/seedstudy_adamw_stable_seed_1/step_025000.pt
